NZM,Mount Cook Airlines
BBA,Bannert Air
VIV,Aeroenlaces Nacionales
KTK,Katekavia
TES,TAES Transportes Aereos de El Salvador
FJI,Air Pacific
SCW,Malmo Aviation
SCX,Sun Country Airlines
GLP,Globus
GLO,Gol Transportes Aéreos
VJC,VietJet Air
GLS,Galaircervis
RBA,Royal Brunei Airlines
TFI,Transport Facilitators
TFL,Arkefly
SDM,Rossiya-Russian Airlines
SDR,City Airline
CEB,Cebu Pacific
VJT,Vistajet
SDU,Sud Airlines
AAF,Aigle Azur
JST,Jetstar Airways
EIN,Aer Lingus
AAL,American Airlines
CES,China Eastern Airlines
XOJ,XOJET
AAR,Asiana Airlines
BCS,European Air Transport
VKG,Mytravel Airways
RCH,Air Mobility Command
QAF,Qatar Amiri Flight
AAY,Allegiant Air
SEJ,Spicejet
JTG,Jettime
EJA,NetJets
BDA,Blue Dart Aviation
FLE,Flair Airlines
LXJ,Bombardier Business Jet Solutions
CFC,Canadian Forces
CFE,BA CityFlyer
JTL,Jetall Holdings
CFH,Care Flight
CFG,Condor Flugdienst
TGW,Tiger Airways
ABG,Abakan-Avia
TGZ,Georgian Airways
CFI,Flight Inspection Center of the General Administration of Civil Aviation in China
EJM,Executive Jet Management
CFM,ACEF
ABL,Air BC
THA,Thai Airways International
CFP,Compania de Aviacion Faucett
CFR,Africa One
VLG,Vueling Airlines
CFT,Jet Freighters
ABQ,Airblue
THD,611897 Alberta Limited
CFS,Empire Airlines
RDD,Adygeya Airlines
DHX,DHL International
ABW,AirBridge Cargo
ABX,Airborne Express
ABY,Air Arabia
CGA,Congressional Air
CGC,Cal Gulf Aviation
ACA,Air Canada
THU,Thunder Airlines
THT,Air Tahiti Nui
CGG,Walmart Aviation
THY,Turkish Airlines
GOL,Cardolaar
CGH,Guizhou Airlines
ISS,Meridiana
CGM,Cargoman
JUS,USA Jet Airlines
ISR,Israir
CGL,Seagle Air
CGN,Changan Airlines
CGP,Cargo Plus Aviation
FMS,Hadison Aviation
GOW,Go Air
CGR,Compagnia Generale Ripreseaeree
CGW,Air Great Wall
PAC,Polar Air Cargo
CGV,Aero Clube Do Algarve
LZB,Bulgaria Air
PAG,Perimeter Aviation
GPD,Tradewind Aviation
PAL,Philippine Airlines
ELC,Small Planet Airlines
WOW,Air Southwest
PAT,Priority Air Transport
CHH,Hainan Airlines
REU,Air Austral
DJT,Denver Jet
ADS,Aviones de Sonora
ELY,El Al Israel Airlines
PBD,Pobeda
AEA,Air Europa
EMD,Eaglemed (Ballard Aviation)
SHT,British Airways Shuttle
DKH,Juneyao Airlines
AEE,Aegean Airlines
BGH,BH Air
SIA,Singapore Airlines
VOE,VOLOTEA Airways
AER,Alaska Central Express
VOI,Volaris
OAE,Omni Air International
XSR,Executive AirShare
DLA,Air Dolomiti
OAL,Olympic Airlines
SIS,Saber Airlines
VOZ,Virgin Australia
DLH,Lufthansa
KZR,Air Astana
FPO,Europe Airpost
AFL,Aeroflot Russian Airlines
VPB,Veteran Air
WRC,Wind Rose Aviation
ENT,DAT Enterprise Limited
QFA,Qantas
AFR,Air France
GRY,New York State Police
ENZ,Jota Aviation
ENY,Envoy Air
TLM,Tramm Airlines
PDT,Piedmont Airlines (1948-1989)
CKK,China Cargo Airlines
CKS,Kalitta Air
GSW,Sky Wings Airlines
NAA,National Oceanic and Atmospheric Administration
JZA,Air Canada Jazz
FRA,FR Aviation
SKU,Sky Airline
CLF,Bristol Flying Centre
GTI,Atlas Air
SKW,SkyWest
SKV,Sky Regional
SKY,Skymark Airlines
HVN,Vietnam Airlines
JZR,Jazeera Airways
NAX,Norwegian Air Shuttle
AHK,Air Hong Kong
AHO,Air Hamburg (AHO)
RJA,Royal Jordanian
CLX,Cargolux
SLI,Aerolitoral
AHY,Azerbaijan Airlines
SLK,SilkAir
FSC,Four Star Aviation / Four Star Cargo
DOC,Norsk Luftambulanse
UPS,United Parcel Service
AIC,Air India Limited
AIJ,Interjet
CMP,Copa Airlines
AIQ,Thai AirAsia
AIR,Airlift International
NCA,Nippon Cargo Airlines
MAC,Malta Air Charter
AIZ,Arkia Israel Airlines
SML,Smith Air (1976)
TOM,Thomsonfly
MAI,Max Avia
CND,Aero Continente Dominicana
SMR,Somon Air
PGT,Pegasus Airlines
MAS,Malaysia Airlines
CNK,Sunwest Home Aviation
CNS,Centennial Flight Centre
SNJ,Skynet Asia Airways
RLK,Air Nelson
PHM,Petroleum Helicopters
COH,Coltishall Flying Training Unit
NDU,University of North Dakota
COO,Corporate Airlink
CON,Continental Oil
ESR,Eastar Jet
PIA,Pakistan International Airlines
